問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解,科目分類,リンクURL
"73歳の女性。上顎右側犬歯の歯肉の痛みを主訴として来院した。6か月前から同部の歯肉に触れた際に違和感があり、1週前から痛むようになったという。歯根中央部の歯肉に圧痛を認めるが、自発痛と打診痛はなく、歯肉に波動を触知しなかった。初診時の口腔内写真(A)、エックス線画像(B)及び歯科用コーンビームCT(C、D)を示す。歯周組織検査結果の一部を表に示す。
行うべき処置と使用する材料の組合せで正しいのはどれか。1つ選べ。[119A73-ori]",骨穿孔　ー　水酸化カルシウム製剤,意図的再植　ー　接着性レジンセメント,歯根尖切除　ー　強化型酸化亜鉛ユージノールセメント,歯槽骨削除　ー　ハイドロキシアパタイト,吸収部位の掻爬　ー　グラスアイオノマーセメント,e,歯内療法学臨床実地,https://drive.google.com/file/d/1DWWZ7mMMDxOdW7MjVTQOz_YE5HWRrcSz/view?usp=drive_link
"器具の写真を示す。
使用目的はどれか。1つ選べ。[119A74-ori]",咬合圧の測定,最大開口量の測定,下顎前方移動量の測定,矢状切歯路傾斜角の記録,フェイスボウトランスファー,c,全部床義歯学一般,https://drive.google.com/file/d/1Aha_Hnr3ormIfXn-QMnZqgoUKfcpeBEu/view?usp=drive_link
"上顎右側小臼歯部と同側の側頭部に持続性の鈍痛を訴える患者が来院した。診察の結果、歯に異常所見を認めなかった。触診の際に、側頭部を圧迫すると歯痛が増強した。そこで、圧痛点に局所麻酔を施したところ小臼歯部の鈍痛が減弱した。
この歯痛はどれか。1つ選べ。[119A75-ori]",関連痛,歯原性歯痛,心因性疼痛,神経障害性疼痛,特発性（非定型）歯痛,a,歯科麻酔学一般,
"8歳の男児。上顎右側中切歯が生え代わらないことを主訴として来院した。初診時の口腔内写真(A)とエックス線画像(B)を示す。
1‏‎‎⏌の萌出遅延の原因はどれか。1つ選べ。[119A76-ori]",2⏌矮小歯,BA⏌癒合歯,1⏌先天欠如,上唇小帯肥厚,上顎正中埋伏過剰歯,b,小児歯科学臨床実地,https://drive.google.com/file/d/1whw_WCDa4GpKvRncpcHlsHrMmRf7sul6/view?usp=drive_link
"8歳の男児。前歯部の隙間を主訴として来院した。初診時の顔貌写真(A)、口腔内写真(B)、早期接触位の写真(C)、エッ クス線画像(D)及び上顎前歯部の歯科用コーンビームCT(E)を示す。セファロ分析の結果を図に示す。
適切な治療方針はどれか。4つ選べ。[119A77-ori]",過剰歯の抜去,上顎骨の成長促進,上顎中切歯の唇側傾斜,上顎両側側切歯部の開窓,上顎両側第二乳臼歯の抜去,1235,歯科矯正学臨床実地,https://drive.google.com/file/d/1TmXfPq-ol3FHqK-Zn2I3vtT3BrI4Qmhd/view?usp=drive_link
骨粗題症の誘因はどれか。2つ選べ。[119A78-ori],閉経,甲状腺機能低下症,ビタミンAの不足,抗RANKL抗体製剤の投与,副腎皮質ステロイド薬の長期投与,15,口腔外科学一般,https://drive.google.com/file/d/1uJ-0i-mU0tf4eMG093LO16e32qEzcqsm/view?usp=drive_link
" 54歳の女性。下顎左側第一大臼歯部の違和感を主訴として来院した。6か月前から自覚していたがそのままにしていたという。検査の結果、慢性歯周炎と診断し、歯周基本治療後に組織再生誘導法⎾6の根分岐部に対して行うこととした。歯周基本治療終了後の口腔内写真(A)、エックス線画像(B)と術中の口腔内写真(C)を示す。歯周組織検査結果の一部を表に示す。
術中の口腔内写真以降の治療過程で4番目に行うのはどれか。1つ選べ。[119A79-ori]",縫合,肉芽除去,GTR膜の設置,ファーケーションプラスティ,スケーリング・ルートプレーニング,c,歯周病学臨床実地,https://drive.google.com/file/d/1E-LI29jcBQKT2ujelg7pBj-zhKCksxrR/view?usp=drive_link
インプラントのオッセオインテグレーション獲得に対するリスクファクターはどれか。3つ選べ。[119A80-ori],喫煙,高血圧,糖尿病,出血性素因,ブラキシズム,135,インプラント(口外)一般,https://drive.google.com/file/d/11X1dRZW8zAgrgqDGdrAmq6FWioY-mijG/view?usp=drive_link
"13歳の女子。左側頰部の腫脹を主訴として来院した。1年前に気付いていたが痛みがなかったのでそのままにしていたところ、徐々に増大してきたという。上顎左側の腫脹部は骨様硬で発赤や圧痛は認めない。初診時のエックス線画像(A)、CT(B)及び3D-CT(C)を示す。
他に精査を依頼すべき部位はどれか。2つ選べ。[119A81-ori]",脳,皮膚,消化管,大腿骨,眼瞼結膜,12,口腔外科学臨床実地,https://drive.google.com/file/d/1FqNESkuonYkS8P8_3qEc3MUCGhFDDT6j/view?usp=drive_link
"脳の矢状断像の模式図を示す。
嚥下反射の誘発に関わる一次ニューロンが直接入力するのはどれか。1つ選べ。[119A82-ori]",ア,イ,ウ,エ,オ,d,生理学一般,https://drive.google.com/file/d/15Z2MOyzks_gTiYo1wa3fU2OQupyOKIz1/view?usp=drive_link
"74歳の女性。上顎右側臼歯部の義歯紛失による咀嚼困難を主訴として来院した。診察の結果、残存歯の歯周組織に問題を認めないことからレジン床による上顎部分床義歯を製作することとした。下顎残存歯列は左右第二大臼歯まで認められた。初診時の口腔内写真を示す。
義歯の設計で考慮すべきなのはどれか。3つ選べ。[119A83-ori]",把持作用の活用,粘膜負担型の形態,義歯着脱方向の規制,歯軸方向への機能力の伝達,義歯床口蓋部へのビーディング付与,134,部分床義歯学臨床実地,https://drive.google.com/file/d/1aRyqcyvbG4fe7wB_kSEW2asYaxpDFAtL/view?usp=drive_link
Th17細胞の機能はどれか。1つ選べ。[119A84-ori],IL-4の産生,IFN-γの産生,過剰な免疫応答の抑制,B細胞でのIgE産生の誘導,感染病巣への好中球の遊走,e,微生物学一般,
健康リテラシーが高い状態はどれか。2つ選べ。[119A85-ori],受動喫煙の回避,多数の医療機関の受診,休養不足での就労の継続,罹患した疾病の情報収集,重篤な医薬品副作用の受容,14,衛生学一般,https://drive.google.com/file/d/1LDr2vfLoS6kkIqEiFzlYLQdHMmDUEExc/view?usp=drive_link
顎骨病変がみられるのはどれか。2つ選べ。[119A86-ori],Gardner症候群,基底細胞母斑症候群,Peutz-Jeghers症候群,Sturge-Weber症候群,Plummer-Vinson症候群,12,口腔外科学一般,https://drive.google.com/file/d/1V_u9NIJy-x0WONuC1C_hcY89Pjjfj0Vc/view?usp=drive_link
"窩洞形態に対するCファクターの模式図を示す。
C値が2.0であるのはどれか。1つ選べ。[119A87-ori]",ア,イ,ウ,エ,オ,d,保存修復学一般,https://drive.google.com/file/d/1IGPniHpvTYKvphIqxsmaw65ADEf3t-uS/view?usp=drive_link
乳児期にチアノーゼをきたす先天性心疾患はどれか。1つ選べ。[119A88-ori],Fallot四徴症,動脈管開存症,肥大型心筋症,心室中隔欠損症,心房中隔欠損症,a,小児歯科学一般,
"上顎全部床義歯製作中のある過程の写真(A)と完成したある装置の写真(B)を示す。
Aの製作過程を実施の順番に並べよ。[119A89-ori]",ア,イ,ウ,エ,オ,53214,全部床義歯学一般,https://drive.google.com/file/d/1MCdO-GoBSsNNSgz83ML5LL946OUy6Q-5/view?usp=drive_link
"20歳の女性。下顎のavailable arch length は 68.0mm、required arch length は74.0mm、Spee 彎曲の深さは0mmである。マルチブラケット装置を用いた治療計画を立案した結果、total discrepancyはｰ9mmであった。目標とする下顎切歯の舌側移動量を求めよ。
ただし、小数点以下第2位を四捨五入すること。[119A90-ori]",,,,,,1.5,歯科矯正学一般,https://drive.google.com/file/d/1ER3ujJhTc7rjezoldIAb1UMQElhUTFZ2/view?usp=drive_link
セファロ分析の距離計測項目のうち、舌突出癖によって値が変化するのはどれか。1つ選べ。[119B1-ori],N-S,S-Ba,N-Me,Go-Me,ANS-PNS,c,歯科矯正学必修,
唾液腺に由来するのはどれか。1つ選べ。[119B2-ori],類皮囊胞,鼻歯槽囊胞,甲状舌管囊胞,鼻口蓋管囊胞, Blandin-Nuhn囊胞,e,口腔外科学必修,
神経細胞の老化によって細胞内で増加するのはどれか。1つ選べ。[119B3-ori],キネシン, Nissl小体,アズール顆粒,リポフスチン顆粒,ニューロフィラメント,d,生化学必修,
患者への説明によって、患者が治療方針を理解し積極的に治療に参加するようになるのはどれか。1つ選べ。[119B4-ori],アウトカム,アドヒアランス,エンパワメント,リビングウィル,コンプライアンス,b,衛生学必修,
針刺し創部の洗浄後の消毒に用いるのはどれか。2つ選べ。[119B5-ori],グルタラール,ポビドンヨード,消毒用エタノール,次亜塩素酸ナトリウム,クロルヘキシジングルコン酸塩,23,微生物学必修,https://drive.google.com/file/d/18At1xl3Al1d3qoGo7Dd3ipLYogGeJrr8/view?usp=drive_link
 MID<Minimal Intervention Dentistry>における齲蝕のマネージメントで正しいのはどれか。1つ選べ。[119B6-ori],歯髄保存療法の実施,齲蝕象牙質内層の除去,齲蝕病変の活動性評価,表層下脱灰病変の除去,窩洞外形の自浄域への設置,c,保存修復学必修,
病原体関連分子パターンを認識する受容体はどれか。1つ選べ。[119B7-ori],補体受容体, B細胞受容体,T細胞受容体,Toll様受容体<TLR>,サイトカイン受容体,d,微生物学必修,
医薬部外品の歯磨剤に歯周病予防を目的として配合される薬用成分はどれか。1つ選べ。[119B8-ori],硝酸カリウム,トラネキサム酸,アルギン酸ナトリウム,ピロリン酸カルシウム,ポリエチレングリコール,b,衛生学必修,
歯肉炎の病態で正しいのはどれか。1つ選べ。[119B9-ori],歯周膿瘍,歯肉退縮,付着の喪失,歯根膜腔拡大,ポケット形成,e,歯周病学必修,
要介護高齢者の介護サービス計画を作成するのはどれか。1つ選べ。[119B10-ori],医師,介護福祉士,社会福祉士,訪問介護員,介護支援専門員,e,衛生学必修,
"ある患者の血液検査の結果の一部を表に示す。
考えられるのはどれか。1つ選べ。[119B11-ori]",血友病,再生不良性貧血,von Willebrand 病,播種性血管内凝固症候群,特発性血小板減少性紫斑病,a,口腔外科学必修,https://drive.google.com/file/d/1BfBLoynhfiV7Kc9RGQgQ2hALpfbkDyFt/view?usp=drive_link
感染性廃棄物とバイオハザードマークの色の組合せで正しいのはどれか。1つ選べ。[119B12-ori],血液　ー　黄色,メス　ー　オレンジ色,注射針　ー　黄色,縫合糸　ー　赤色,止血に使用したガーゼ　ー　赤色,c,衛生学必修,
温度変化によって硬化する非弾性印象材はどれか。1つ選べ。[119B13-ori],寒天印象材,アルジネート印象材,シリコーンゴム印象材,酸化亜鉛ユージノール印象材,モデリングコンパウンド印象材,e,歯科理工学必修,
閉口筋にある筋紡錘を支配する感覚神経の細胞体があるのはどれか。1つ選べ。[119B14-ori],三叉神経上核,三叉神経運動核,三叉神経主感覚核,三叉神経脊髄路核,三叉神経中脳路核,e,生理学必修,
咬耗の原因となるのはどれか。2つ選べ。[119B15-ori],ブラキシズム,フッ化物での洗口,強圧でのブラッシング,頻回な部分床義歯の着脱,対合関係にあるモノリシックジルコニアクラウンの研磨不良,15,保存修復学必修,https://drive.google.com/file/d/1J3nd3nMwljCtstJjzksLQHOe07vRiBIB/view?usp=drive_link
口内法エックス線撮影において、小児と成人で変更するのはどれか。2つ選べ。[119B16-ori],照射時間,照射筒の長さ,焦点の大きさ,ろ過板の厚さ,検出器の大きさ,15,歯科放射線学必修,https://drive.google.com/file/d/12UAtU_f7r1OBC0fApUOFdnN1zoS8iNBG/view?usp=drive_link
口腔内で特殊粘膜で覆われるのはどれか。1つ選べ。[119B17-ori],頰,歯肉,舌縁,舌背,硬口蓋,d,解剖組織学必修,
AEDについて正しいのはどれか。1つ選べ。[119B18-ori],心静止に有効である。,小児には使用できない。,使用は医療従事者に限られる。,心電図解析中は胸骨圧迫を中断する。,心臓ペースメーカ装着患者への使用を避ける。,d,歯科麻酔学必修,
アミノ酸の代謝産物を反映する検査項目はどれか。1つ選べ。[119B19-ori],FBS,LDH,尿素窒素,直接ビリルビン,,c,歯科麻酔学必修,
哺乳齲蝕の初発部位はどれか。1つ選べ。[119B20-ori],上顎乳前歯唇側面,上顎乳前歯口蓋面,下顎乳前歯唇側面,下顎乳前歯舌側面,下顎乳臼歯咬合面,b,小児歯科学必修,
舌癌の予防で適切なのはどれか。2つ選べ。[119B21-ori],禁煙,減塩,糖質制限,適正体重の維持,歯の鋭縁の削除,15,口腔外科学一般,https://drive.google.com/file/d/1BPHEZqOMUZSdI9oeFVuEZPHAmdMzrJcf/view?usp=drive_link
" 8歳の男児。上顎右側乳犬歯遠心部に食物が挟まることを主訴として来院した。1か月前から気付いていたが痛みがないのでそのままにしていたという。初診時の口腔内写真(A)とエックス線画像(B)を示す。
C⏌に対する適切な対応はどれか。1つ選べ。[119B22-ori]",経過観察,コンポジットレジン修復,抜髄,感染根管治療,抜歯,b,小児歯科学臨床実地,https://drive.google.com/file/d/1hTLtJwVFPNbEz9eg2TVv1PEgWKHnmKZB/view?usp=drive_link
"左側口底部の無痛性腫脹を主訴として来院した患者のMRI脂肪抑制T2強調冠状断像(A)、脂肪抑制T2強調横断像(B)及び拡散強調像(C)を示す。
最も疑われるのはどれか。1つ選べ。[119B23-ori]",膿瘍,脂肪腫,唾石症,顎下腺炎,ラヌーラ,e,口腔外科学一般,https://drive.google.com/file/d/1VLkzkJtQvRubxfBnUTErXAKBeSX-jGob/view?usp=drive_link
" 24歳の女性。下顎左側大臼歯部の疼痛を主訴として来院した。診察の結果、智歯周囲炎と診断し抜歯することとした。局所麻酔中に顔面蒼白となり気分不快を訴えた。意識レベルはJCSⅡ-20であった。AEDを要請し、生体情報モニタ装着および静脈路確保を行った。このときの生体情報モニタ画面の写真を示す。
適切な対応はどれか。1つ選べ。[119B24-ori]",電気的除細動,胸骨圧迫心マッサージ,ニトログリセリンの舌下投与,ニカルジピン塩酸塩の静脈内投与,アトロピン硫酸塩水和物の静脈内投与,e,歯科麻酔学臨床実地,https://drive.google.com/file/d/1ndZCxsouZqvFQ7A1X72COTkkmBk_kBjL/view?usp=drive_link
認知症の中核症状はどれか。2つ選べ。[119B25-ori],失語,妄想,せん妄,抑うつ,見当識障害,15,衛生学一般,https://drive.google.com/file/d/1Gdmbre0MVD9e0hwVrLwuAH8yyCYWJtD7/view?usp=drive_link
"口腔内に装着された矯正装置を示す。
この装置の作用様式と矯正力の種類の組合せで正しいのはどれか。1つ選べ。[119B26-ori]",間歇的　ー　器械的,間歇的　ー　機能的,持続的　ー　器械的,持続的　ー　機能的,断続的　ー　器械的,c,歯科矯正学一般,https://drive.google.com/file/d/1i2ygkNVxQ7cz79df4iRys3-gz8-YrRCs/view?usp=drive_link
"⎾④5 6⑦プロビジョナルブリッジ装着後、患者による清掃状態を確認中の写真を示す。	
この確認で最終補綴装置に反映されるのはどれか。2つ選べ。[119B27-ori]",咬合高径,咬合接触関係,連結部の形態,隣接接触点の強さ,ポンティックの基底面形態,35,冠橋義歯学一般,https://drive.google.com/file/d/1odzEzhPKdO7aQALh4afOf1OS0E3Cioor/view?usp=drive_link
マイクロサージェリーによる歯根尖切除法で行うのはどれか。2つ選べ。[119B28-ori],根尖側3mmで切断,歯軸に対して45°で切断,マイクロミラーによる歯根切断面の確認,切断面から深さ1mmの逆根管充塡窩洞形成,尖形裂溝状スチールバーを用いた逆根管充塡窩洞形成,13,歯内療法学一般,https://drive.google.com/file/d/1nkY-beSEiVXTLzG5E7YdVwyHlZBFq16y/view?usp=drive_link
"収縮期血圧が130 mmHg、拡張期血圧が70 mmHgの時の平均血圧はどれか。1つ選べ。
ただし、小数点以下第1位を四捨五入すること。[119B29-ori]",87 mmHg,90 mmHg,100 mmHg,110 mmHg,113 mmHg,b,歯科麻酔学一般,
不可逆的機能停止が死の三徴候に含まれるのはどれか。3つ選べ。[119B30-ori],脳,肺,心臓,肝臓,腎臓,123,衛生学一般,https://drive.google.com/file/d/12ZKAqeNquyketDbF7owzbVPCOMm8J81f/view?usp=drive_link
摂食嚥下障害患者に対する誤嚥防止を目的とした治療的アプローチはどれか。1つ選べ。[119B31-ori],プッシング訓練,毎食後の口腔ケア,液体へのとろみ付け,頸部前屈位での食事,軟口蓋挙上装置の使用,a,衛生学一般,
"85歳の男性。口腔衛生管理を希望して入所中の特別養護老人ホームから訪問診療の依頼があった。認知症、誤嚥性肺炎、高血圧症の既往があり、降圧薬を服用している。胃瘻による経腸栄養管理が行われており、4年以上経口摂取をしていな い。初診時の口腔内写真を示す。
まず行うのはどれか。1つ選べ。[119B32-ori]",間接訓練,抗菌薬の投与,口腔機能精密検査,口腔保湿剤の塗布,超音波スケーラーによる歯石除去,d,衛生学臨床実地,https://drive.google.com/file/d/1gf9Gy2MJ82y2zwEGQSCHVISamtsQJcwE/view?usp=drive_link
細胞内の受容体に結合するのはどれか。1つ選べ。[119B33-ori],インスリン,グルカゴン,カルシトニン,成長ホルモン,活性型ビタミンD₃,e,生理学一般,
"9歳の男児。下顎左側第一乳臼歯部の歯肉腫脹を主訴として来院した。軽度の動揺はあるが、自発痛と打診痛はない。初診時の口腔内写真(A)とエックス線画像(B)を示す。
⎾Dに対する適切な対応はどれか。1つ選べ。[119B34-ori]",経過観察,生活歯髄切断,抜髄,感染根管治療,抜歯,e,小児歯科学臨床実地,https://drive.google.com/file/d/1Wa4B8WIoOT87yIR_nVO4m5qzbEC-ppPO/view?usp=drive_link
歯の動揺度検査でMillerの判定基準の1度はどれか。1つ選べ。[119B35-ori],フレミタスの有無,歯軸方向の動揺範囲,近遠心方向の動揺,唇舌方向の0.2 mm未満の動揺,唇舌方向の0.2～1.0mmの動揺,e,歯周病学一般,
"20歳の女性。下顎左側臼歯部の腫脹を主訴として来院した。6か月前から自覚していたが、1か月前から徐々に増大してきたという。触診にて腫脹部は骨様硬で圧痛はない。初診時のパノラマエックス線画像(A)、CT(B)、MRI(C)及び生検時のH-E染色病理組織像(D)を示す。
適切な治療法はどれか。1つ選べ。[119B36-ori]",開窓,摘出術,下顎辺縁切除術,下顎区域切除術,下顎半側切除術,d,口腔外科学臨床実地,https://drive.google.com/file/d/1UyoC6k-1-pdQoukK8Y9CUmCC83MLHFVl/view?usp=drive_link
"待合室で全身けいれん発作が生じ意識が消失した。
まず行うのはどれか。1つ選べ。[119B37-ori]",気道確保,胸骨圧迫,身体抑制,静脈路確保,開口器の挿入,a,歯科麻酔学一般,
"75歳の男性。口蓋の腫瘤が気になることを主訴として来院した。同部に骨様硬の膨隆を認め、粘膜は一部白色を呈していた。初診時の口腔内写真(A)、CT(B)及び生検のH-E染色病理組織像(C)を示す。
口蓋粘膜と上顎骨に対する対応の組合せで正しいのはどれか。1つ選べ。[119B38-ori]",切除　ー　経過観察,切除　ー　口蓋隆起切除,切除　ー　上顎部分切除,抗真菌薬の投与　ー　経過観察,副腎皮質ステロイド軟膏塗布　ー　経過観察,b,口腔外科学臨床実地,https://drive.google.com/file/d/1vptVZfl02RmReej5x1u0Fvgr4kClng_U/view?usp=drive_link
組織内照射に用いる核種で、永久的に留置するのはどれか。1つ選べ。[119B39-ori],¹⁹⁸Au,⁶⁰Co,¹³⁷Cs,¹⁹²Ir,²²⁶Ra,a,歯科放射線学一般,
室内空気汚染の指標として用いられるのはどれか。1つ選べ。[119B40-ori],窒素,一酸化炭素,二酸化硫黄,二酸化炭素,二酸化窒素,d,衛生学一般,
口腔に水疱が出現するのはどれか。2つ選べ。[119B41-ori],風疹,麻疹,手足口病,ヘルパンギーナ,流行性耳下腺炎,34,口腔外科学一般,https://drive.google.com/file/d/1aBIqO05utAwLyNMjq7s-BH8FiVRHHISJ/view?usp=drive_link
歯周病予防のための生活習慣改善の対象はどれか。3つ選べ。[119B42-ori],PTC,飲酒,喫煙,服薬,食生活,235,衛生学一般,https://drive.google.com/file/d/1VnGg_X1uPAiLv5rmac2i5g4lgUchF472/view?usp=drive_link
"48歳の女性。右側顎関節部の腫脹と開口困難を主訴として来院した。3年前から同部の疼痛と開口困難を自覚し、1年前から右顎関節部が腫脹してきたという。初診時のパノラマエックス線画像(A)、右顎関節部のCT (B)、MRI(C)及び切除物のH-E染色病理組織像(D)を示す。
診断名はどれか。1つ選べ。[119B43-ori]",偽痛風,骨肉腫,軟骨肉腫,骨芽細胞腫,滑膜性軟骨腫症,e,口腔外科学臨床実地,https://drive.google.com/file/d/1Wu1wCx0Xs9dgTyCx-TWzITj6J0gn58gw/view?usp=drive_link
"50歳の男性。下顎右側第二大臼歯欠損による咀嚼困難を主訴として来院した。診察の結果、インプラント義歯を製作することとした。印象採得後に印象用コーピングをインプラントから撤去した後の口腔内写真(A)、撤去した印象用コーピングの写真(B)及び口腔内から撤去した印象体の写真(C)を示す。
次に行うのはどれか。1つ選べ。[119B44-ori]",石膏の注入,ダウエルピンの設置,ガム用シリコーンゴムの注入,印象用コーピングの印象への挿入,印象用コーピングとインプラントアナログの連結,e,インプラント(補綴)臨床実地,https://drive.google.com/file/d/1qfElc5WI5SrQUgxLFbqsBID06yWOu0A-/view?usp=drive_link
"下顎Kennedy Ⅱ級で少数歯欠損症例に対して部分床義歯を製作することとした。
精密印象採得に用いる個人トレーで正しいのはどれか。2つ選べ。[119B45-ori]",粘膜部に遁路を付与する。,粘膜部にストッパーを付与する。,粘膜部にスペーサーを付与する。,粘膜辺縁部にコンパウンドを付加する。,粘膜辺縁部は歯肉頰移行部で封鎖する。,45,部分床義歯学一般,https://drive.google.com/file/d/1uEA6LyxyyCDc42pdtban6KfWypnvbGr0/view?usp=drive_link
"75歳の男性。上顎粘膜の灼熱感を主訴として来院した。上顎には7年前に製作した義歯が装着されていた。診察の結果、義歯の適合や咬合に異常は認められず、 病原体検査ではCandida albicansが検出された。初診時の口腔内写真を示す。
対応で正しいのはどれか。3つ選べ。[119B46-ori]",義歯安定剤の使用を勧める。,義歯洗浄剤の使用を勧める。,硬い食品の摂取を控えさせる。,ミコナゾール硝酸塩を塗布する。,就寝中は義歯を外すよう指導する。,245,全部床義歯学臨床実地,https://drive.google.com/file/d/1Kje810UDuP3Yry8AkShMIwiLUT6yHb0F/view?usp=drive_link
上顎の前後方向の成長に関与するのはどれか。1つ選べ。[119B47-ori],上顎間縫合,鼻骨間縫合,前頭頰骨縫合,前頭上顎縫合,翼突口蓋縫合,e,歯科矯正学一般,
心肺蘇生法において人工呼吸を行う際に、救助者の感染予防に有効なのはどれか。1つ選べ。[119B48-ori],酸素マスク,鼻カニューラ,経口エアウェイ,バイトブロック,バッグバルブマスク,e,歯科麻酔学一般,
"35歳の男性。下顎右側第一大臼歯の一過性冷水痛を主訴として来院した。2週前から自覚しているという。歯髄電気診には正常に反応する。光硬化型グラスアイオノマーセメント修復を行うこととした。初診時のエックス線画像(A)、処置開始時(B)及び齲窩開拡後(C)の写真を示す。
考慮すべきなのはどれか。1つ選べ。[119B49-ori]",外開き窩洞,円形穿下の付与 ,十分な予防拡大,バットジョイント,遠心への鳩尾形付与,d,保存修復学臨床実地,https://drive.google.com/file/d/1g2MBMDstCxO7kOrRzMvsCynXr8feXqrl/view?usp=drive_link
"62歳の女性。下顎左側臼歯部補綴装置の動揺を主訴として来院した。検査の結果、慢性歯周炎と診断し歯周基本治療を行った。再評価の結果、歯周外科治療を行うこととした。初診時のエックス線画像(A)及び補綴装置除去後の術前口腔内写真(B)を示す。再評価時の歯周組織検査結果の一部を表に示す。
⎾5に実施する歯周外科治療はどれか。2つ選べ。[119B50-ori]",骨移植術,歯肉切除術,遊離歯肉移植術,歯肉弁根尖側移動術,FGF-2製剤を用いた再生療法,15,歯周病学臨床実地,https://drive.google.com/file/d/1ARnHUO75K3n0Ui5xEyQkIDh8xwiVDPm3/view?usp=drive_link
"⑥5④⏌ブリッジの製作過程の口腔内写真(A)と口腔内から取り出した装置の写真(B)を示す。
Bの次に行うのはどれか。1つ選べ。[119B51-ori]",埋没,ろう付け,チェックバイト採得,隣接歯との接触関係の調整,フェイスボウトランスファー,a,冠橋義歯学一般,https://drive.google.com/file/d/1hmK2QpkxaZIJ9PpMhz9jUgR9Dsa68bXW/view?usp=drive_link
上顎急速拡大装置の効果判定に用いられるのはどれか。2つ選べ。[119B52-ori],MRI,咬合法エックス線画像,咬翼法エックス線画像,歯科用コーンビームCT,側面頭部エックス線規格写真,24,歯科矯正学一般,https://drive.google.com/file/d/1m4GcRpEeQdIW3gbAYvyPNeuqKDqvwnz9/view?usp=drive_link
"6歳の男児。転倒によって下顎前歯部を受傷したため来院した。下顎前歯部に動揺は認められない。初診時の口腔内写真(A)とエックス線画像(B)を示す。
適切な対応はどれか。1つ選べ。[119B53-ori]",固定,整復,抜歯,抜髄,経過観察,e,小児歯科学臨床実地,https://drive.google.com/file/d/1Yd86yt_m1876ym5fKeA2H2cVyHoqu6vJ/view?usp=drive_link
"上顎右側前歯部のレべリング時の口腔内写真を示す。
矢印の間のアーチワイヤーに付加するのはどれか。1つ選べ。[119B54-ori]",エラスティックスレッド,エラスティックチェーン,オープンコイルスプリング,エラスティックセパレーター,クローズドコイルスプリング,c,歯科矯正学一般,https://drive.google.com/file/d/1V7wlDSkJOg-VpcHGEg69z2zWVcNEEM43/view?usp=drive_link
Parkinson病の発症に関連するのはどれか。1つ選べ。[119B55-ori],タウ蛋白,プリオン,α-シヌクレイン,ポリグルタミン,アミロイドβ蛋白,c,病理学一般,
"生後3か月の乳児。舌の異常を主訴として来院した。出生時から哺乳瓶を使用しているが、1週前から授乳時に号泣するという。初診時の体重は6,100 gであった。初診時の口腔内写真を示す。
まず行うのはどれか。1つ選べ。[119B56-ori]",⎾A抜去,経過観察,舌の生検,人工乳首の変更,⎾A切縁の形態修正,e,小児歯科学臨床実地,https://drive.google.com/file/d/1K3rgK_qxo-EFYDqjBXargnIYZ0_gb4H7/view?usp=drive_link
