問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解,科目分類,リンクURL
"ある運動を行った際の筋電図を示す。
この筋電図波形が発生するのはどれか。1つ選べ。[119B57-ori]",嚥下,開口,呼吸,咀嚼,発音,d,生理学一般,https://drive.google.com/file/d/1QIvegsblkskktFzBjhrnff2CTCL0bxjD/view?usp=drive_link
パノラマエックス線画像で、骨粗鬆症のリスク予測に用いるのはどれか。1つ選ベ。[119B58-ori],歯,頸椎,舌骨,下顎骨,上顎骨,d,歯科放射線学一般,
創部に用いる閉鎖式ドレーンの目的はどれか。3つ選べ。[119B59-ori],血腫の防止,死腔の防止,抗菌薬の投与,滲出液の性状確認,創部の無菌的洗浄,124,口腔外科学一般,https://drive.google.com/file/d/1S262Ut1O7onc39_d9LbQ6ickoS4jUG30/view?usp=drive_link
温熱刺激によって持続する痛みが誘発されるのはどれか。2つ選べ。[119B60-ori],歯髄充血,上行性歯髄炎,急性化膿性歯髄炎,慢性潰瘍性歯髄炎,慢性増殖性歯髄炎,23,歯内療法学一般,https://drive.google.com/file/d/1EHh7yMwxl5_FBO9OFKyRKx54A-rXNotc/view?usp=drive_link
"ソーシャルキャピタルの説明を以下に示す。
「社会関係資本とも呼ばれ、人々の信頼やネットワークを背景に(　　　)を活発化し、効率性を高めることができる社会組織に特徴的な資本である。」
(	)に入るのはどれか。1つ選べ。[119B61-ori]",環境保護,公的支援,受診勧奨,相互扶助,公衆衛生活動,d,衛生学一般,
"48歳の女性。下顎左側第一大臼歯の抜去後の補綴歯科治療を希望して来院した。
診察の結果、ブリッジ治療を行うこととした。支台歯形成後の口腔内写真(A)及び完成した補綴装置の写真(B)を示す。
本ブリッジの口腔内試適時から装着までの操作はどれか。2つ選べ。[119B62-ori]",咬合接触関係の検査と調整,支台歯被着面のシラン処理,隣接歯との接触関係の検査と調整,グラスアイオノマーセメントによる装着,補綴装置被着面のアルミナサンドブラスト処理,15,冠橋義歯学臨床実地,https://drive.google.com/file/d/1arTJzzm-z0rJy4yuCwVN2Ims-NEY61Dz/view?usp=drive_link
"9歳の男児。上顎左側中切歯の歯列不正を主訴として来院した。8歳になってから萌出し、徐々に突出してきたという。初診時の口腔内写真(A、B)とエックス線画像(C)を示す。
原因として考えられるのはどれか。2つ選べ。[119B63-ori]",過剰歯,癒合歯,口腔習癖,上唇小帯,切歯結節,25,小児歯科学臨床実地,https://drive.google.com/file/d/1ornHecFIDEcc-WnPnF47KoOz1IkpM2n6/view?usp=drive_link
根分岐部病変に対する歯根切断除去療法はどれか。2つ選べ。[119B64-ori],トンネリング,ヘミセクション,ルートリセクション,ルートセパレーション,ファーケーションプラスティ,23,歯周病学一般,https://drive.google.com/file/d/1i7WJxB3-9b0VRJ4gQV3srf07qOIlunUW/view?usp=drive_link
"24歳の女性。上顎左側第二小臼歯の冷水痛を主訴として来院した。2週前から、冷たいものがしみるようになったという。自発痛と打診痛は認めない。診察と検査の結果、インレーを除去後、生活断髄を行うこととした。初診時の口腔内写真(A)、エックス線画像(B)、髄室開拡時の口腔内写真(C)及び髄室開拡後にある処置を行い、止血した後の口腔内写真(D)を示す。
次に使用するのはどれか。1つ選べ。[119B65-ori]",裏層器,有鈎探針,ゲーツグリッデンドリル,平頭裂溝状スチールバー,スプーンエキスカベーター,a,歯内療法学臨床実地,https://drive.google.com/file/d/1JbfRzMQl12lM0G9fjNSA_smDZbe5QsvP/view?usp=drive_link
軟骨無形成症児にみられる口腔所見はどれか。1つ選べ。[119B66-ori],溝状舌,短根歯,上顎の劣成長,タウロドント,歯の早期萌出,c,病理学一般,
"モノマーの構造式を示す。
接着性モノマーはどれか。2つ選べ。[119B67-ori]",ア,イ,ウ,エ,オ,34,歯科理工学一般,https://drive.google.com/file/d/1VmNex-L4brE49MfWokHHqOkW_uNOiyvQ/view?usp=drive_link
"82歳の男性。食べこぼしが増えたことを主訴として家族とともに来院した。3 か月前から食事の際に食べこぼしが増えたことを家族が気にしているという。医療面接中に口を繰り返し動かす状態が観察された。医療面接中の写真を示す。
確認すべき常用薬はどれか。2つ選べ。[119B68-ori]",抗真菌薬,抗血小板薬, 抗リウマチ薬,定型抗精神病薬,抗Parkinson病薬,45,口腔外科学臨床実地,https://drive.google.com/file/d/1oqX8SLgC21VmYHshtZU-ZbRtp4L5a1j9/view?usp=drive_link
"65歳の女性。上顎右側中切歯の審美不良を主訴として来院した。診察の結果、1⏌にクラウンを製作することとした。コーピング試適時の口腔内写真を示す。
レジン前装冠と比較したこのクラウンの特徴で正しいのはどれか。3つ選べ。[119B69-ori]",着色しやすい。,耐摩耗性が高い。,色調再現性が高い。,プラークが付着しやすい。,金属アレルギー患者に適用できる。,235,冠橋義歯学臨床実地,https://drive.google.com/file/d/1-kbwKJ2mRrp3Ta7pzEyAGFwXJ13YgGeg/view?usp=drive_link
"8歳の女児。受け口を主訴として来院した。切端咬合位をとることができない。初診時の顔面写真(A)、口腔内写真(B)及びエックス線画像 (C)を示す。セファロ分析の結果を図に示す。
適切な治療方針はどれか。3つ選べ。[119B70-ori]",上顎前歯の唇側傾斜,下顎前歯の挺出抑制,上顎骨の前方成長促進,下顎骨の前方成長抑制,上顎両側第一大臼歯の遠心回転,245,歯科矯正学臨床実地,https://drive.google.com/file/d/1vYwtQZ0m_9nR6q9pqwdtu8oaBBKJhgZC/view?usp=drive_link
"下顎枝矢状分割術で用いる器具の写真(A)と矢印で示す使用中の術中写真(B)を示す。
この器具で回避できるのはどれか。2つ選べ。[119B71-ori]",下顎頭の脱臼,舌の知覚異常,下唇の運動障害,頰粘膜の知覚異常,オトガイ部の知覚異常,25,口腔外科学一般,https://drive.google.com/file/d/1oiBn_9C3xdZqetLpWfY68C2KbV2Q4N42/view?usp=drive_link
高齢者の栄養状態の評価に用いるのはどれか。3つ選べ。[119B72-ori],BMI,GLIM基準,MMSE,MNA,Saxonテスト,124,衛生学一般,https://drive.google.com/file/d/1ueAi8VzuM6Yv4cln-DN4boF8GY2uuchb/view?usp=drive_link
予防矯正はどれか。1つ選べ。[119B73-ori],上下顎乳前歯の咬頭干渉の除去,歯齢ⅡC期の開咬に対する筋機能療法の適用,顎間関係の不調和に対する外科的矯正治療の適用,歯齢ⅢA期の下顎前突に対するアクチバトールの装着,永久歯列期のリップバンパーを併用したマルチブラケット装置の装着,a,歯科矯正学一般,
介入研究はどれか。2つ選べ。[119B74-ori],新規局所麻酔薬の治験,生活歯の漂白処置後に実施した患者アンケート調査,角化歯肉幅とプロービング深さの関連に関する横断研究,ブリッジとインプラント補綴治療の予後の前向きコホート研究,オーバーデンチャーに使用する2種類のアタッチメントのクロスオーバー試験<逐次比較対照試験>,15,衛生学一般,https://drive.google.com/file/d/1X7pnLzR9dcau-4_AoxbPd1J6FynsEuEB/view?usp=drive_link
"9歳の男児。咀嚼時に上顎前歯口蓋側の歯肉が痛むことを主訴として来院した。 診断の結果、第一期治療として下顎乳臼歯は抜去せずに矯正歯科治療を行うことにした。初診時の顔貌写真(A)、口腔内写真(B)とエックス線画像(C)を示す。セファロ分析の結果を図に示す。
治療目標で正しいのはどれか。3つ選べ。[119B75-ori]",臼歯の挺出,下顎前歯の圧下,上顎犬歯の牽引,上下顎歯列正中線の一致,Angle I級の大臼歯関係の確立,124,歯科矯正学臨床実地,https://drive.google.com/file/d/1JgI24tWZRIusbCI5hRqRRm8DCHuKMw2r/view?usp=drive_link
"88歳の男性。食事に時間がかかることを主訴として来院した。上下顎全部床義歯は8年前に製作し、修理を繰り返しながら使用していたが、1か月前から食事に時間がかかるようになったという。口腔機能検査の結果を表に示す。初診時の義歯の写真(A、B)を示す。
適切な対応はどれか。2つ選べ。[119B76-ori]",義歯の製作,舌抵抗訓練,口唇閉鎖訓練,舌の清掃指導,唾液腺マッサージの指導,12,衛生学臨床実地,https://drive.google.com/file/d/1mEReMPR7peQtFWT-kMWFdHjcgdCmByJA/view?usp=drive_link
アフタ性口内炎に有効なのはどれか。2つ選べ。[119B77-ori],半夏瀉心湯,アシクロビル,デキサメタゾン,アムホテリシンB,アモキシシリン水和物,13,薬理学一般,https://drive.google.com/file/d/1nGfv-Q92QKiStZsAoFwnSRlgHH0mCm1L/view?usp=drive_link
矯正装置と上顎臼歯の移動様相との組合せで正しいのはどれか。2つ選べ。[119B78-ori],咬合斜面板　ー　挺出,リンガルアーチ　ー　近心移動,上顎前方牽引装置　ー　遠心移動,トランスパラタルアーチ　ー　回転,サービカルプルヘッドギア　ー　圧下,14,歯科矯正学一般,https://drive.google.com/file/d/1x_duqlF8t26ct5XaT81XwSUwex0aRl0u/view?usp=drive_link
"63歳の女性。左側上顎腫瘍切除後の咀嚼困難を主訴として来院した。左側上顎腫瘍切除後、顎欠損部は皮弁によって完全に閉鎖されている。診察の結果、開鼻声は認めず、ブローイング検査においても問題は認められなかった。再建術後の口腔内写真(A)、義歯製作過程の装置の写真(B)、装置試適前の顔貌写真(C)及び装置試適後の顔貌写真(D)を示す。
試適時に確認が必要なのはどれか。3つ選べ。[119B79-ori]",構音,流涎,咬合力,鼻漏出,人工歯排列位置,125,口腔外科学臨床実地,https://drive.google.com/file/d/1m_CJGhZqDfGhWYKx2Pgpj_OG_Qp3ozYB/view?usp=drive_link
拘束性肺疾患はどれか。2つ選べ。[119B80-ori],気胸,肺気腫,肺線維症,間質性肺炎,気管支喘息,34,歯科麻酔学一般,https://drive.google.com/file/d/1ijXWcJWhVyC2Ulz0P1kZFAa44PiwQOyW/view?usp=drive_link
"79歳の女性。上下顎の義歯紛失による咀嚼困難を主訴として来院した。義歯は12年前に製作したが、1週前に旅行先で紛失したという。診察の結果、補綴歯科治療を行うこととした。初診時の口腔内写真(A)と義歯非装着時の顔貌写真(B)を示す。
咬合高径決定の際に参考にするのはどれか。3つ選べ。[119B81-ori]",残存歯,下顎安静位,顔面の計測,タッピング運動,リップサポー卜,123,部分床義歯学臨床実地,https://drive.google.com/file/d/1Zndv_-AGnG8f4nWX_NO1y24tMT_pXzOh/view?usp=drive_link
離乳の開始時期で推奨されるのはどれか。1つ選べ。[119B82-ori],生後1〜2か月,生後3～4か月,生後5〜6か月,生後7～8か月,生後9 ～10か月,c,小児歯科学一般,
毎年実施するのはどれか。1つ選べ。[119B83-ori],患者調査,受療行動調査,医療施設静態調査,歯科疾患実態調査,国民健康・栄養調査,e,衛生学一般,
"56歳の男性。右側舌縁部の腫瘤を主訴として来院した。3か月前に気付いたが、 大きさに変化がないのでそのままにしていたという。右側舌縁に18×15 mm大、 無痛性で弾性軟の腫瘤を認めた。初診時の口腔内写真(A)、造影CT(B)および生検時のH-E染色病理組織像(C)を示す。
診断名はどれか。1つ選べ。[119B84-ori]",脂肪腫,線維腫,粘液腫,腺様嚢胞癌,リンパ管腫,a,口腔外科学臨床実地,https://drive.google.com/file/d/1zSAc7pks9Q93_UwkqB-IJxC_1BVipqLX/view?usp=drive_link
"14歳の女子。ブラッシング時の歯肉出血を主訴として来院した。2か月前から歯肉腫脹と全身倦怠感を自覚するようになり、最近ブラッシング時に出血がみられるようになったという。パノラマエックス線検査では異常所見はみられず、体温 37.2℃、脈拍82/分、血圧114/68 mmHgであった。初診時の口腔内写真を示す。血液検査の結果を表に示す。
考えられるのはどれか。1つ選べ。[119B85-ori]",天疱瘡,Osler 病,悪性貧血,類天疱瘡,顆粒球減少症,e,口腔外科学臨床実地,https://drive.google.com/file/d/1yNS4SxKvwAf7ibFQw4SOd0KZ14U8pcDv/view?usp=drive_link
口臭の官能検査を複数の検査者で行う理由で正しいのはどれか。1つ選べ。[119B86-ori],口臭の強さは日内変動が大きい。,検査者の嗅覚閾値には個人差がある。,口臭の原因物質には複数の種類がある。,生理的口臭と病的口臭では対応が異なる。,検査時にプライバシーへの配慮が必要である。,b,衛生学一般,
"研究用模型を製作するため印象材を練和している写真を示す。
印象材粉末の成分で硬化を遅延させるのはどれか。1つ選べ。[119B87-ori]",ケイソウ土,硫酸ナトリウム,アルギン酸カリウム,リン酸三ナトリウム,アルギン酸ナトリウム,d,歯科理工学一般,https://drive.google.com/file/d/1Aehg-e3PB8PhmWjDloqXA2WbbPbI3cTG/view?usp=drive_link
地域包括ケアシステムについて正しいのはどれか。2つ選べ。[119B88-ori],多職種が連携する。,介護は医療機関で完結する。,自立支援より入院加療を優先する。,二次医療圏単位でサービスを提供する。,住み慣れた地域での生活継続を重視する。,15,衛生学一般,https://drive.google.com/file/d/1LaDEwrlw3Sz2DZbb-rDlfMtStboqyK4d/view?usp=drive_link
食道粘膜の萎縮によって嚥下困難が生じるのはどれか。1つ選べ。[119B89-ori],Parkinson病,Down症候群,Marfan症候群,Gardner症候群,Ramsay Hunt 症候群,6,口腔外科学一般,
"全部床義歯製作における個人トレー試適から作業用模型のトリミングまでの手順を実施の順番に並べよ。
解答：個人トレー試適→①→②→③→④→➄→作業用模型のトリミング[119B90-ori]",印象採得,筋圧形成,ボクシング,模型材注入 ,接着材の塗布,25134,全部床義歯学一般,https://drive.google.com/file/d/1hFAaGwsh_a7SIkhBD7-uqAl9ealMN7ro/view?usp=drive_link
永久歯歯根吸収の原因となり得るのはどれか。1つ選べ。[119C1-ori],隣接する埋伏歯,歯肉の繊維性肥厚,隣在歯の骨性癒着,乳歯歯根の吸収不全,乳歯萌出方向の異常,a,歯内療法学必修,
トリプシン様プロテアーゼを産生するのはどれか。1つ選べ。[119C2-ori],Tannerella forsythia,Prevotella intermedia,Fusobacterium nucleatum,Corynebacterium matruchotii,Aggregatibacter actinomycetemcomitans,a,微生物学必修,
高齢者に認められるのはどれか。1つ選べ。[119C3-ori],体液量の増加,体脂肪率の増加,消化管運動の亢進,糸球体濾過量の増加,血清アルブミン濃度の増加,b,口腔外科学必修,
高齢者で低栄養状態を疑う体重減少はどれか。2つ選べ。[119C4-ori],1週間で0.5％,1か月で3％,3か月で7.5％,6か月で10％,1年で10％,34,衛生学必修,https://drive.google.com/file/d/1SzRGDtyF8Vl91iFwd7wZPV-XXD14hy_V/view?usp=drive_link
脳卒中による障害を改善する訓練が該当するのはどれか。1つ選べ。[119C5-ori],グリーフケア,バリアフリー,リハビリテーション,ハイリスクアプローチ,プライマリ・ヘルスケア,c,衛生学必修,
回復体位の目的はどれか。1つ選べ。[119C6-ori],血圧の回復,自発呼吸の再開,意識レベルの回復,上気道閉塞の防止,胃内容物の逆流防止,d,歯科麻酔学必修,
刺激なしで覚醒しているが、自分の名前や生年月日が言えない意識レベルはどれか。1つ選べ。[119C7-ori],JCS I-1,JCS I-2,JCS I-3,JCS Ⅱ-10,JCS Ⅱ-20,c,歯科麻酔学必修,
一時的止血法はどれか。1つ選べ。[119C8-ori],圧迫法,結紮法,焼灼法,捻転法,縫合法,a,口腔外科学必修,
下顎右側乳犬歯の早期喪失で生じるのはどれか。1つ選べ。[119C9-ori],鞍状歯列弓,下顎歯列正中の右方偏位,下顎右側側切歯の近心傾斜,後続永久歯萌出余地の拡大,下顎右側第一小臼歯の遠心傾斜,b,歯科矯正学必修,
薬物と副作用の組合せで正しいのはどれか。1つ選べ。[119C10-ori],ビタミンB₁₂製剤 　ー　味覚異常,抗ヘルペスウイルス薬　ー　顎骨壊死,ピリミジン代謝拮抗薬　ー　口腔粘膜炎,イミダゾール系抗真菌薬　ー　歯の変色,ニューキノロン系抗菌薬　ー　歯肉肥大,c,薬理学必修,
副交感神経活動の亢進によって起こるのはどれか。1つ選べ。[119C11-ori],瞳孔の散大,心拍数の増加,膵液分泌の促進,気管支平滑筋の弛緩,副腎髄質からのホルモン分泌の促進,c,生理学必修,
"口腔健康管理は、(　　　)、口腔衛生管理および口腔ケアで構成される。
(	)に入る語句はどれか。1つ選べ。[119C12-ori]",栄養管理,義歯管理,周術期管理,齲蝕予防管理,口腔機能管理,e,衛生学必修,
矯正歯科治療での歯の移動に影響を及ぼすのはどれか。1つ選べ。[119C13-ori],アセトアミノフェン,アンピシリン水和物,ジフェンヒドラミン塩酸塩,クロルフェニラミンマレイン酸塩,ロキソプロフェンナトリウム水和物,e,歯科矯正学必修,
歯科医師免許の取消しを規定するのはどれか。1つ選べ。[119C14-ori],刑法,医療法,健康保険法,歯科医師法,地域保健法,d,衛生学必修,
Gracey型キュレットについて正しいのはどれか。1つ選べ。[119C15-ori],刃部を両側に持つ。,研磨後の刃部は線状に光が反射する。,研磨後の刃部はテストスティック表面を滑る。,第1シャンクに対するフェイスの角度は70°である。,刃部の形態はトゥの先端を頂点とする二等辺三角形である。,d,歯周病学必修,
味細胞において、甘味物質が結合するのはどれか。1つ選べ。[119C16-ori],細胞内受容体,酵素共役型受容体,H⁺-Na⁺交換輸送体,Gタンパク質共役型受容体,イオンチャネル内蔵型受容体,d,生理学必修,
病診連携として病院が地域の診療所のかかりつけ歯科医師に依頼するのはどれか。1つ選べ。[119C17-ori],特定保健指導,周術期の口腔機能管理,感染制御チーム<ICT>の活動,3歳児歯科健康診査の結果に基づく歯科保健指導,介護予防事業における口腔機能の向上プログラムの実施,b,衛生学必修,
"頰粘膜腫瘤の摘出物のH-E染色病理組織像を示す。 
認められる所見はどれか。1つ選べ。[119C18-ori]",潰瘍,出血,石灰化,膿瘍形成,結合組織増生,e,病理学必修,https://drive.google.com/file/d/11X-OLQb4JdSlrjiSvV1VVlnUTGVDsM6I/view?usp=drive_link
口呼吸が原因で認められるのはどれか。1つ選べ。[119C19-ori],舌の圧痕,歯肉クレフト,フェストゥーン,アブフラクション,テンションリッジ,e,歯周病学必修,
BI <Barthel Index>で評価される日常生活動作はどれか。1つ選べ。[119C20-ori],買い物,着替え,食事の準備,家計簿の記録,電車での移動,b,衛生学必修,
"76歳の男性。飲水時のむせを主訴として来院した。反回神経麻痺の既往があるが、現在、通院治療はしていないという。日常の食事形態への配慮はないという。 栄養状態およびチェアサイドでのスクリーニングの結果を表に示す。嚥下内視鏡検査時の写真を示す。
直ちに行うべき対応はどれか。1つ選べ。[119C21-ori]",交互嚥下,舌抵抗訓練,食形態の変更,液体へのとろみ付与,舌接触補助床の製作,d,衛生学臨床実地,
"48歳の男性。上下顎前歯部の審美不良とブラッシング時の出血を主訴として来院した。1年前から自覚していたがそのままにしていたという。検査の結果、慢性歯周炎と診断し、歯周治療を開始することとした。患者は全身疾患の既往はないが、1日10本以上の喫煙者である。初診時の口腔内写真(A、B、C)と エックス線画像(D)を示す。歯周組織検査結果の一部を表に示す。
まず行うのはどれか。2つ選べ。[119C22-ori]",禁煙支援,咬合調整,抗菌薬の投与,口腔清掃指導,スケーリング,14,歯周病学臨床実地,https://drive.google.com/file/d/1X-PQ4o-uyJEf6Cgx7t3HHQ6N1FXRLwS7/view?usp=drive_link
"要介護高齢者の上顎右側犬歯歯頸部の口腔内写真を示す。齲蝕病巣に探針を挿入できるが、引き抜く際に抵抗があった。
適切な対応はどれか。2つ選べ。[119C23-ori]",経過観察,再石灰化療法,フッ化ジアンミン銀塗布,次亜塩素酸ナトリウム塗布,水酸化カルシウム製剤貼付,23,保存修復学一般,https://drive.google.com/file/d/1FAuin8BFy95tDxEWjAaOlhNMU_8HbuJE/view?usp=drive_link
左側下顎骨関節突起骨折で小骨片の脱臼を伴う場合にみられるのはどれか。2つ選べ。[119C24-ori],骨片呼吸,前歯部開咬,右側臼歯部早期接触,下顎正中の左側偏位,左側歯列の交叉咬合,45,口腔外科学一般,https://drive.google.com/file/d/1nH6iITts3kxEHNOZsP8TqslRPh0uNKuO/view?usp=drive_link
二態咬合を生じやすいのはどれか。2つ選べ。[119C25-ori],咬合挙上板,咬合斜面板,ヘッドギア,アクチバトール,リンガルアーチ,24,歯科矯正学一般,https://drive.google.com/file/d/1mjHmFgFa2AVTsWdzhUalPtiS4tGCzp1E/view?usp=drive_link
口内法エックス線撮影時に被曝を懸念して躊躇する患者への説明で正しいのはどれか。2つ選べ。[119C26-ori],「エックス線画像がないと治療は行えません」,「エックス線の照射範囲を絞って撮影します」,「防護エプロンをするので被曝はありません」,「通常よりエックス線の量を少なくして撮影します」,「エックス線画像から得られる情報で正確な診断が出来ます」,25,歯科放射線学一般,https://drive.google.com/file/d/1xOhVtnHmLTSiTAOvrkRpggiyLoR1nFIr/view?usp=drive_link
パルスオキシメータで正しいのはどれか。1つ選べ。[119C27-ori],貧血で低値を示す。,動脈血酸素分圧を測定する。,拍動がなくても測定できる。,血中の溶存酸素量を測定できる。,赤色光と赤外光の吸光度を測定する。,e,歯科麻酔学一般,
"70歳の男性。咀嚼困難を主訴として来院した。診察の結果、下顎右側臼歯部にインプラント義歯による治療を行うこととした。来院時の口腔内写真(A)と操作中の口腔内写真(B)を示す。
上部構造製作に必要なのはどれか。1つ選べ。[119C28-ori]",石膏,歯肉圧排糸,オープントレー,口腔内スキャナー,シリコーンゴム印象材,d,インプラント(補綴)臨床実地,https://drive.google.com/file/d/1KJMzl1TjNxx1tPBVJXmNv6dRja-ePuES/view?usp=drive_link
周術期の口腔健康管理の目的はどれか。2つ選べ。[119C29-ori],手術時間の短縮,術後肺炎の予防,ポリファーマシーの予防,気管挿管時の歯の損傷予防,服薬アドヒアランスの向上,24,衛生学一般,https://drive.google.com/file/d/15TvDT4kzVBZu2_YOXxqtLd5kAvnVRuUJ/view?usp=drive_link
"63歳の男性。上顎左側大臼歯の補綴装置の脱離を主訴として来院した。レジン前装冠と支台築造体が一塊として脱離していた。診察と検査の結果、支台築造体のポストは短いが、根管充填と根尖部周囲組織に異常を認めない。根管形成を行い、直接法による支台築造を行うこととした。初診時の口腔内写真(A)、使用する材料の写真(B)及び使用する器具の写真(C)を示す。
操作に用いるのはどれか。3つ選べ。[119C30-ori]",ア,イ,ウ,エ,オ,234,冠橋義歯学臨床実地,https://drive.google.com/file/d/1b2UphShU_X221nlJLlG9YxXROaPUande/view?usp=drive_link
歯周外科治療の中で組織付着療法はどれか。2つ選べ。[119C31-ori],GTR法,歯肉切除術,フラップ手術,歯周ポケット掻爬術,歯肉弁根尖側移動術,34,歯周病学一般,https://drive.google.com/file/d/1BOVuTIlEpgpjJzQJbtUu4QU8bkvyI3t_/view?usp=drive_link
予防接種で生ワクチンを用いるのはどれか。2つ選べ。[119C32-ori],結核,狂犬病,破傷風,日本脳炎,流行性耳下腺炎,15,衛生学一般,https://drive.google.com/file/d/13lPa12em9_jn1dE0FwYX8xu5tV5rY41Q/view?usp=drive_link
"28歳の女性。矯正歯科治療後の下顎左側中切歯の歯肉退縮を主訴として来院した。当該歯の露出根面は唇側中央部で4mmであった。プローピング深さは全顎的に3mm以下であった。術前の口腔内写真(A)とエックス線画像(B)を示す。
歯周形成手術を実施する際に考慮すべき事項はどれか。3つ選べ。[119C33-ori]",歯槽骨の高さ,付着歯肉の幅,知覚過敏の有無,O'LearyのPCR,歯周ポケット内の細菌叢,124,歯周病学臨床実地,https://drive.google.com/file/d/1eYFZ3jqfGSxI1kfnpFB4b_283ARMIlGf/view?usp=drive_link
"35歳の男性。下顎右側第一大臼歯のメタルインレー脱離による審美不良を主訴として来院した。痛みがないためそのままにしていたという。打診痛はなく、歯髄電気診で生活反応を示した。診察の結果、セラミックインレー修復を行うこととした。初診時の口腔内写真(A)とエックス線画像(B)を示す。
窩洞形成を行うにあたって考慮すべき事項はどれか。2つ選べ。[119C34-ori]",窩縁斜面の付与,線角部の曲面化,補助的保持形態の付与,歯肉縁上の歯肉側窩縁の設置,インレー体への十分な厚みの付与,25,保存修復学臨床実地,https://drive.google.com/file/d/1Kvhfi3-sUH-q_uR0OQEm17ZmQTHaO1oE/view?usp=drive_link
"65歳の女性。下顎右側第一大臼歯の咀嚼時痛を主訴として来院した。5年前に治療を受け症状もなく経過していたが、1週前から咬合時に痛みがあるという。診察の結果、再根管治療を行うこととした。初診時のエックス線画像(A)と根管上部の根管充填材除去後の口腔内写真(B)を示す。
続いて行う近心根管の処置で留意するのはどれか。3つ選べ。[119C35-ori]",髄管の存在,根管の作業長,フィンの存在,分岐根管の有無,根管イスムスの存在,245,歯内療法学臨床実地,https://drive.google.com/file/d/1wwxgYVRX4himKS9vx4R6ZQBBNzoWxNwH/view?usp=drive_link
"62歳の男性。右側顔面の皮疹を主訴として来院した。5日前から右側顔面の掻痒感と違和感を自覚していたが、皮疹の出現とともに疼痛も強くなってきたという。初診時の顔貌写真(A、B)と口腔内写真(C)を示す。
急性期治療後に説明が必要なのはどれか。1つ選べ。[119C36-ori]",下唇の運動障害,終生免疫の獲得,抗体価の定期的測定,神経障害性疼痛の出現,第Ⅷ脳神経症状の出現,d,口腔外科学臨床実地,https://drive.google.com/file/d/1vcfQ-NtkyH_ScGbnyn5apGvKBICINJOC/view?usp=drive_link
症候群と口腔所見の組合せで正しいのはどれか。2つ選べ。[119C37-ori],Down症候群　ー　矮小歯,Marfan症候群　ー　巨舌,Turner症候群　ー　歯の萌出遅延,Papillon-Lefèvre症候群　ー　高口蓋,Treacher Collins症候群　ー　小顎症,15,口腔外科学一般,https://drive.google.com/file/d/1MO8opN8ps2o_GS8H35GC9nYsJM0anvJW/view?usp=drive_link
"矯正装置を装着し、管理中の口腔内写真を示す。
この装置の使用で減少するのはどれか。2つ選べ。[119C38-ori]",IMPA,顔面角,オーバーバイト,オーバージェット,下顎の歯槽基底弓長径,34,歯科矯正学一般,https://drive.google.com/file/d/1xTufGlUarbSH_uLf-AitUaQ4lHAT-QSh/view?usp=drive_link
